response_id,price,quality_rating,purchase_intent
1,93.54,5.9,10
2,60.53,1.3,5.2
3,41.0,1.1,6.5
4,198.11,7.2,10
5,88.12,4.6,9.5
6,33.24,8.6,10
7,131.1,2.0,7.1
8,192.61,2.0,6.8
9,132.56,9.7,10
10,105.91,9.3,10
11,53.95,3.3,8.0
12,141.27,8.4,10
13,98.55,1.3,5.3
14,137.62,4.0,7.6
15,169.49,6.7,10
16,61.99,5.1,9.2
17,162.93,7.2,10
18,171.09,1.4,7.4
19,48.31,3.0,9.6
20,136.42,5.9,10
21,199.04,4.2,10
22,81.22,8.5,10
23,129.21,1.5,5.6
24,132.16,2.1,6.9
25,52.3,6.8,10
26,72.87,6.8,10
27,68.97,1.1,5.3
28,132.77,2.7,9.5
29,171.31,8.5,10
30,67.26,1.6,9.1
31,112.2,8.8,10
32,107.78,3.6,7.8
33,73.98,4.6,6.9
34,33.1,3.3,7.0
35,189.83,6.9,10
36,137.18,9.2,10
37,35.16,9.1,10
38,116.01,8.4,10
39,63.76,7.3,10
40,68.91,4.7,9.5
41,45.12,9.5,10
42,127.49,5.7,10
43,77.44,3.9,6.3
44,34.21,9.2,10
45,188.84,7.1,10
46,193.27,7.7,10
47,143.61,5.0,10
48,152.44,1.0,6.9
49,76.02,5.8,10
50,53.83,1.1,6.3
51,41.71,4.5,7.4
52,75.46,2.2,6.8
53,185.63,6.7,10
54,77.93,6.3,10
55,77.38,6.9,10
56,163.22,2.1,6.5
57,22.9,1.7,4.1
58,186.57,2.4,6.4
59,97.22,9.5,10
60,64.69,3.5,6.8
61,46.83,3.4,6.2
62,138.79,2.5,8.6
63,52.17,5.1,10
64,162.02,7.2,10
65,178.03,5.5,10
66,164.37,3.5,10.0
67,54.79,8.5,10
68,51.35,1.4,6.1
69,60.51,4.9,10
70,189.75,4.9,10
71,20.82,8.2,10
72,134.83,7.0,10
73,78.36,7.4,10
74,109.48,1.0,4.5
75,126.46,3.6,7.8
76,81.3,7.0,10
77,189.68,2.5,7.9
78,189.85,1.7,4.7
79,88.95,2.5,7.0
80,115.55,4.2,10
81,193.3,1.5,7.7
82,120.41,8.5,10
83,109.32,9.5,10
84,179.07,5.8,10
85,25.41,1.1,7.7
86,134.96,2.0,6.8
87,163.38,8.0,10
88,98.13,7.2,10
89,89.98,9.3,10
90,186.62,9.8,10
91,115.92,2.0,4.0
92,57.39,3.3,7.6
93,69.52,3.1,8.4
94,35.38,5.6,8.7
95,145.29,1.2,5.5
96,145.31,4.6,10
97,22.47,3.2,8.3
98,96.82,4.8,10
99,79.3,1.4,5.0
100,116.76,6.3,10
101,48.65,1.4,6.1
102,138.48,9.7,10
103,75.16,7.6,10
104,183.22,5.1,10
105,130.68,9.9,10
106,191.79,7.1,10
107,78.64,3.5,8.9
108,196.25,6.0,10
109,160.1,3.2,9.5
110,177.49,5.4,10
111,185.2,6.1,10
112,74.23,9.3,10
113,118.91,4.6,9.1
114,34.04,1.4,5.9
115,35.21,9.1,10
116,92.13,6.7,10
117,134.15,9.2,10
118,22.11,2.4,9.4
119,108.29,6.8,10
120,118.3,1.0,6.3
121,90.24,6.8,10
122,135.83,5.1,10
123,197.85,9.6,10
124,52.02,4.9,10.0
125,96.3,4.9,10
126,93.83,7.8,10
127,40.83,6.7,9.8
128,142.48,2.7,9.1
129,147.03,4.3,10
130,76.37,5.7,10
131,72.88,4.5,8.7
132,174.69,3.6,8.8
133,144.31,9.6,10
134,51.62,5.1,10
135,41.27,9.3,10
136,194.83,2.3,8.5
137,34.08,7.3,10
138,65.84,1.1,5.8
139,81.76,1.5,7.3
140,25.6,7.7,10
141,62.87,8.9,10
142,86.83,8.4,10
143,187.92,9.7,10
144,173.59,8.3,10
145,189.25,1.7,7.3
146,171.79,7.2,10
147,94.75,7.1,10
148,71.77,7.8,10
149,47.39,6.3,10
150,68.02,1.3,6.8
151,37.0,7.0,10
152,97.82,6.3,10
153,163.0,9.9,10
154,166.07,8.6,10
155,140.57,3.1,8.8
156,153.43,7.7,10
157,57.31,1.6,6.6
158,23.03,1.4,4.3
159,96.07,6.9,10
160,81.94,6.8,10
161,69.06,3.1,9.0
162,132.1,1.6,7.5
163,40.44,8.5,10
164,195.84,8.3,10
165,44.9,1.9,7.1
166,25.83,1.9,5.4
167,71.21,3.2,9.9
168,30.43,3.6,8.6
169,145.69,7.7,10
170,50.62,6.6,10
171,165.01,7.6,10
172,149.08,9.2,10
173,130.88,2.3,7.2
174,21.95,3.7,7.8
175,87.18,9.7,10
176,123.28,4.7,9.2
177,181.92,6.6,10
178,166.79,4.7,10
179,193.03,1.5,6.7
180,107.71,8.9,10
